DLS 23 Ratings by rosieline_#1574,,,https://discord.gg/uMtYYpGaZB,,,,,,,,,,,,,,,,,,,
Legendary Players Ratings (complete),,,,,,,,,,,,,,,,,,,,,,
First Name,Last Name,Price,Nationality,Club,Position,Foot,Rating,Height (cm),Speed,Acceleration,Stamina,Control,Strength,Tackling,Passing,Shooting,Handling (GK),Reactions (GK),Rating Change,Total Stats,Player ID,Game Version
Erling,Haaland,2675,Norway,Man City,CF,L,86,194,90,83,79,81,90,50,75,93,,,2,641,17196,v10.15
Kylian,Mbappe,2675,France,Paris SG,CF,R,86,178,94,94,82,88,75,33,83,91,,,1,640,14756,v10.15
Lionel,Messi,2675,Argentina,Paris SG,CF,L,86,170,80,87,77,95,69,55,91,91,,,0,645,182,v10.15
Kevin,De Bruyne,2475,Belgium,Man City,AM,R,86,181,81,79,86,87,76,59,94,85,,,2,647,7957,v10.15
,Neymar Jr,2510,Brazil,Paris SG,LW,R,85,175,86,91,74,93,60,47,88,88,,,1,627,1892,v10.15
Robert,Lewandowski,2510,Poland,Barcelona,CF,R,85,185,76,76,84,86,88,51,80,94,,,-,635,2862,v10.15
Karim,Benzema,2510,France,Real Madrid,CF,R,85,184,82,81,81,87,84,45,82,93,,,3,635,2602,v10.15
,Alisson,1855,Brazil,Liverpool,GK,R,85,191,62,61,,65,65,48,68,,81,84,0,534,14939,v10.15
Mohamed,Salah,2355,Egypt,Liverpool,RW,L,84,175,88,90,81,85,70,49,85,87,,,-1,635,12027,v10.15
Vinicius,Junior,2355,Brazil,Real Madrid,LW,R,84,176,92,92,82,89,68,31,81,84,,,3,619,16320,v10.15
Harry,Kane,2355,England,Tottenham,CF,R,84,188,77,71,86,82,85,53,85,93,,,1,632,10159,v10.15
Luka,Modric,2180,Croatia,Real Madrid,CM,B,84,172,71,77,82,91,68,69,93,80,,,1,631,1498,v10.15
Virgil,van Dijk,1920,Netherlands,Liverpool,CB,R,84,193,80,69,84,78,93,88,80,69,,,0,641,7307,v10.15
Thibaut,Courtois,1740,Belgium,Real Madrid,GK,L,84,200,64,64,,64,67,58,62,,80,83,1,542,7458,v10.15
Heung-Min,Son,2200,South Korea,Tottenham,LW,B,83,184,88,88,83,85,67,49,81,84,,,2,625,10074,v10.15
Cristiano,Ronaldo,2200,Portugal,Portugal,CF,B,83,187,83,79,74,86,82,41,79,91,,,-3,615,382,v10.15
,Rodri,2035,Spain,Man City,DM,R,83,191,71,69,84,81,85,82,86,75,,,2,633,16327,v10.15
,Casemiro,2035,Brazil,Man United,DM,R,83,185,69,66,86,79,88,89,82,71,,,1,630,10297,v10.15
Toni,Kroos,2035,Germany,Real Madrid,CM,B,83,183,67,68,83,87,75,75,93,80,,,1,628,4739,v10.15
Bruno,Fernandes,2035,Portugal,Man United,AM,R,83,179,73,75,90,84,68,73,88,83,,,1,634,12434,v10.15
Bernardo,Silva,2035,Portugal,Man City,AM,L,83,173,79,82,91,89,63,68,85,77,,,1,634,12427,v10.15
Achraf,Hakimi,1800,Morocco,Paris SG,RB,R,83,181,90,90,85,78,69,73,80,71,,,1,636,15932,v10.15
Joao,Cancelo,1800,Portugal,Man City,LB,R,83,182,82,84,83,82,72,79,84,72,,,3,638,13717,v10.15
